countyname,districtname,schoolname,total_5_8,title1allocation
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Atlantic City High School",0,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Brighton Avenue School",34,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Chelsea Heights School",135,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Dr Martin Luther King Jr School Complex",209,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","New York Avenue School",228,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Pennsylvania Ave School",189,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Richmond Avenue School",279,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Sovereign Avenue School",298,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Texas Avenue School",252,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Uptown School Complex",210,2638399
ATLANTIC,"ATLANTIC CITY SCHOOL DISTRICT","Venice Park School",0,2638399
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Buena Regional High School",0,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Buena Regional Middle School",345,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Collings Lakes Elementary School",0,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","Dr. J.P. Cleary Elementary School",116,407210
ATLANTIC,"BUENA REGIONAL SCHOOL DISTRICT","John C. Milanesi Elementary School",0,407210
ATLANTIC,"EGG HARBOR CITY SCHOOL DISTRICT","Charles L. Spragg School",0,107427
ATLANTIC,"EGG HARBOR CITY SCHOOL DISTRICT","Egg Harbor City Community School",217,107427
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Alder Avenue Middle School",919,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Bargaintown Preschool",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Clayton J. Davenport Elementary School",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Dr. Joyanne D. Miller Elementary School",498,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Egg Harbor Township High School",0,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Fernwood Avenue Middle School",811,456597
ATLANTIC,"EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Swift-Slaybaugh Complex",0,456597
ATLANTIC,"FOLSOM BOROUGH SCHOOL DISTRICT","Folsom Elementary School",171,40083
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Arthur Rann Elementary School",194,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Arthur Rann Elementary School",194,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Galloway Township Middle School",707,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Galloway Township Middle School",707,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Reeds Road Elementary School",122,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Reeds Road Elementary School",122,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Roland Rogers Elementary School",171,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Roland Rogers Elementary School",171,310207
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Smithville Elementary School",167,42697
ATLANTIC,"GALLOWAY TOWNSHIP PUBLIC SCHOOL DISTRICT","Smithville Elementary School",167,310207
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Absegami High School",0,282323
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Cedar Creek High School",0,282323
ATLANTIC,"GREATER EGG HARBOR REGIONAL HIGH SCHOOL DISTRICT","Oakcrest High School",0,282323
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","George L. Hess Educational Complex",274,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","George L. Hess Educational Complex",274,1203359
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","Joseph C Shaner Memorial Elementary School",0,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","Joseph C Shaner Memorial Elementary School",0,1203359
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","William Davies Middle School",906,287551
ATLANTIC,"HAMILTON TOWNSHIP SCHOOL DISTRICT","William Davies Middle School",906,1203359
ATLANTIC,"MAINLAND REGIONAL HIGH SCHOOL","Mainland Regional High School",0,94979
ATLANTIC,"MARGATE CITY SCHOOL DISTRICT","Eugene A. Tighe Middle School",140,67095
ATLANTIC,"MARGATE CITY SCHOOL DISTRICT","William H. Ross III School",0,67095
ATLANTIC,"MULLICA TOWNSHIP SCHOOL DISTRICT","Mullica Township Middle School",262,96722
ATLANTIC,"MULLICA TOWNSHIP SCHOOL DISTRICT","Mullica Township Primary School",0,96722
ATLANTIC,"NORTHFIELD CITY SCHOOL DISTRICT","Northfield Community Elementary School",0,72324
ATLANTIC,"NORTHFIELD CITY SCHOOL DISTRICT","Northfield Community Middle School",397,72324
ATLANTIC,"VENTNOR CITY SCHOOL DISTRICT","Ventnor Elementary School",0,221327
ATLANTIC,"VENTNOR CITY SCHOOL DISTRICT","Ventnor Middle School",176,221327
ATLANTIC,"WEYMOUTH TOWNSHIP SCHOOL DISTRICT","Weymouth Township School",66,33112
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Bergenfield High School",0,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Franklin Elementary School",53,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Hoover Elementary School",42,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Jefferson Elementary School",61,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Lincoln Elementary School",76,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Roy W. Brown Middle School",762,257054
BERGEN,"BERGENFIELD BOROUGH SCHOOL DISTRICT","Washington Elementary School",46,257054
BERGEN,"CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT","Henry P. Becton Regional High School",0,40954
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Gantner Avenue School",57,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Gilbert Avenue School",69,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Memorial Middle School",569,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Memorial Senior High School",0,187344
BERGEN,"ELMWOOD PARK SCHOOL DISTRICT","Sixteenth Avenue School",66,187344
BERGEN,"PALISADES PARK SCHOOL DISTRICT","Charles R Smith Early Chilhood Center",0,217842
BERGEN,"PALISADES PARK SCHOOL DISTRICT","Lindbergh Elementary School",254,217842
BERGEN,"PALISADES PARK SCHOOL DISTRICT","Palisades Park Jr-Sr High School",242,217842
BURLINGTON,"BEVERLY CITY SCHOOL DISTRICT","Beverly City School District",122,56639
BURLINGTON,"BURLINGTON CITY PUBLIC SCHOOL DISTRICT","Burlington City High School",200,200415
BURLINGTON,"BURLINGTON CITY PUBLIC SCHOOL DISTRICT","Captain James Lawrence Elementary School",0,200415
BURLINGTON,"BURLINGTON CITY PUBLIC SCHOOL DISTRICT","Samuel Smith Elementary School",0,200415
BURLINGTON,"BURLINGTON CITY PUBLIC SCHOOL DISTRICT","Wilbur Watts Intermediate School",239,200415
BURLINGTON,"DELANCO TOWNSHIP SCHOOL DISTRICT","M. Joan Pearson School",155,47054
BURLINGTON,"EDGEWATER PARK TOWNSHIP SCHOOL DISTRICT","Mildred Magowan Elementary School",0,117635
BURLINGTON,"EDGEWATER PARK TOWNSHIP SCHOOL DISTRICT","Samuel M Ridgway Middle School",417,117635
BURLINGTON,"FLORENCE TOWNSHIP SCHOOL DISTRICT","Florence Riverfront School",490,113278
BURLINGTON,"FLORENCE TOWNSHIP SCHOOL DISTRICT","Florence Township Memorial High School",0,113278
BURLINGTON,"FLORENCE TOWNSHIP SCHOOL DISTRICT","Roebling Elementary School",0,113278
BURLINGTON,"MANSFIELD TOWNSHIP SCHOOL DISTRICT","John Hydock Elementary School",0,46183
BURLINGTON,"MANSFIELD TOWNSHIP SCHOOL DISTRICT","Mansfield Township Elementary School",151,46183
BURLINGTON,"MOUNT HOLLY TOWNSHIP PUBLIC SCHOOL DISTRICT","F. W. Holbein Middle School",451,281617
BURLINGTON,"MOUNT HOLLY TOWNSHIP PUBLIC SCHOOL DISTRICT","Gertrude C. Folwell Elementary School",0,281617
BURLINGTON,"MOUNT HOLLY TOWNSHIP PUBLIC SCHOOL DISTRICT","John Brainerd Elementary School",0,281617
BURLINGTON,"NEW HANOVER TOWNSHIP","New Hanover Township School",74,27884
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Denbo Crichton School",188,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Fort Dix Elementary School",26,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Helen A. Fort Middle School",584,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Howard L. Emmons",0,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Joseph S. Stackhouse School",0,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Marcus W. Newcomb Middle School",309,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Pemberton Early Childhood Education Center",0,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Pemberton Township High School",0,549833
BURLINGTON,"PEMBERTON TOWNSHIP SCHOOL DISTRICT","Samuel T. Busansky School",110,549833
BURLINGTON,"RANCOCAS VALLEY REGIONAL HIGH SCHOOL DISTRICT","Rancocas Valley Regional High School",0,94108
BURLINGTON,"RIVERSIDE TOWNSHIP SCHOOL DISTRICT","Riverside Elementary School",102,125477
BURLINGTON,"RIVERSIDE TOWNSHIP SCHOOL DISTRICT","Riverside High School",0,125477
BURLINGTON,"RIVERSIDE TOWNSHIP SCHOOL DISTRICT","Riverside Middle School",316,125477
BURLINGTON,"SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT","Southampton Township School #1",0,44440
BURLINGTON,"SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT","Southampton Township School #2",70,44440
BURLINGTON,"SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT","Southampton Township School #3",253,44440
CAMDEN,"BERLIN BOROUGH SCHOOL DISTRICT","Berlin Community School",378,45311
CAMDEN,"BERLIN TOWNSHIP SCHOOL DISTRICT","Dwight D Eisenhower Middle School",261,173846
CAMDEN,"BERLIN TOWNSHIP SCHOOL DISTRICT","John F Kennedy Elementary School",0,173846
CAMDEN,"BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT","Highland Regional High School",0,306722
CAMDEN,"BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT","Timber Creek Regional High School",0,306722
CAMDEN,"BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT","Triton Regional High School",0,306722
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Camden Big Picture Learning Academy",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Camden High School",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Cooper's Poynt Family School",160,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Creative Arts High School",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Dr. Charles E. Brimm Medical Arts High School",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Dr. Henry H. Davis Elementary School",192,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Eastside High School",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Forest Hill School",52,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Henry B. Wilson Family School",167,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Martha F. Wilson Early Childhood Development Center",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Morgan Village Middle School",203,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Octavius V. Catto Community Family School",217,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Riletta Twyne Cream Early Childhood Center",0,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Thomas H. Dudley Family School",163,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Veterans Memorial Family School",271,8612565
CAMDEN,"CAMDEN CITY SCHOOL DISTRICT","Yorkship Elementary School",26,8612565
CAMDEN,"EASTERN CAMDEN COUNTY REGIONAL SCHOOL DISTRICT","Eastern Camden County Regional High School",0,90622
CAMDEN,"GLOUCESTER CITY PUBLIC SCHOOL DISTRICT","Cold Springs School",1,401365
CAMDEN,"GLOUCESTER CITY PUBLIC SCHOOL DISTRICT","Gloucester City High School",0,401365
CAMDEN,"GLOUCESTER CITY PUBLIC SCHOOL DISTRICT","Gloucester City Middle School",667,401365
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Ann A. Mullen Middle School",797,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Blackwood Elementary School",98,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Charles W. Lewis Middle School",705,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Chews Elementary School",114,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Erial Elementary School",107,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Glen Landing Middle School",667,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Glendora Elementary School",29,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Gloucester Township Elementary School",42,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","James W. Lilley Elementary School",95,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Loring Flemming Elementary School",108,641327
CAMDEN,"GLOUCESTER TOWNSHIP PUBLIC SCHOOLS","Union Valley Elementary School",84,641327
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Clyde S. Jennings Elementary School",15,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Haddon Township High School",0,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Stoy Elementary School",16,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Strawbridge Elementary School",37,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Thomas A. Edison Elementary School",18,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","Van Sciver Elementary School",66,115021
CAMDEN,"HADDON TOWNSHIP SCHOOL DISTRICT","William G. Rohrer Middle School",414,115021
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","A.E. Burling High School",16,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Baldwin Elementary School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Benjamin Franklin Elementary School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Delair Elementary School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","G.H. Carson Elementary School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","George B. Fine Elementary School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Howard M. Phifer Middle School",988,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Pennsauken High School",0,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Pennsauken Intermediate School",334,1068733
CAMDEN,"PENNSAUKEN TOWNSHIP BOARD OF EDUCATION SCHOOL DISTRICT","Roosevelt Science Technology Engineering and Mathematics (ST",81,1068733
CAMDEN,"VOORHEES TOWNSHIP SCHOOL DISTRICT","Edward T. Hamilton",85,177759
CAMDEN,"VOORHEES TOWNSHIP SCHOOL DISTRICT","Kresson School",74,177759
CAMDEN,"VOORHEES TOWNSHIP SCHOOL DISTRICT","Osage School",100,177759
CAMDEN,"VOORHEES TOWNSHIP SCHOOL DISTRICT","Signal Hill School",74,177759
CAMDEN,"VOORHEES TOWNSHIP SCHOOL DISTRICT","Voorhees Middle School",982,177759
CAMDEN,"WATERFORD TOWNSHIP SCHOOL DISTRICT","Atco Elementary School",0,104150
CAMDEN,"WATERFORD TOWNSHIP SCHOOL DISTRICT","Thomas Richards Early Childhood Center",0,104150
CAMDEN,"WATERFORD TOWNSHIP SCHOOL DISTRICT","Waterford Elementary School",227,104150
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Early Childhood Education Center",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School Five",383,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School Four",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School One",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School Six",358,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School Three",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Elementary School Two",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township High School",0,684460
CAMDEN,"WINSLOW TOWNSHIP SCHOOL DISTRICT","Winslow Township Middle School",790,684460
"CAPE MAY","CAPE MAY CITY SCHOOL DISTRICT","Cape May City Elementary School",25,25270
"CAPE MAY","DENNIS TOWNSHIP SCHOOL DISTRICT","Dennis Township Elementary/Middle Schools",247,67095
"CAPE MAY","DENNIS TOWNSHIP SCHOOL DISTRICT","Dennis Township Primary School",0,67095
"CAPE MAY","LOWER CAPE MAY REGIONAL SCHOOL DISTRICT","Lower Cape May Regional High School",0,182987
"CAPE MAY","LOWER CAPE MAY REGIONAL SCHOOL DISTRICT","Richard M. Teitelman Middle School",394,182987
"CAPE MAY","LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT","Carl T. Mitnick School",0,207386
"CAPE MAY","LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT","David C. Douglass Memorial School",0,207386
"CAPE MAY","LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT","Maud Abrams School",0,207386
"CAPE MAY","LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT","Sandman Consolidated School",332,207386
"CAPE MAY","MIDDLE TOWNSHIP PUBLIC SCHOOL DISTRICT","Middle Township Elementary #1",0,309336
"CAPE MAY","MIDDLE TOWNSHIP PUBLIC SCHOOL DISTRICT","Middle Township Elementary #2",189,309336
"CAPE MAY","MIDDLE TOWNSHIP PUBLIC SCHOOL DISTRICT","Middle Township Elementary #4",544,309336
"CAPE MAY","MIDDLE TOWNSHIP PUBLIC SCHOOL DISTRICT","Middle Township High School",0,309336
"CAPE MAY","OCEAN CITY SCHOOL DISTRICT","Ocean City High School",0,143776
"CAPE MAY","OCEAN CITY SCHOOL DISTRICT","Ocean City Intermediate School",261,143776
"CAPE MAY","OCEAN CITY SCHOOL DISTRICT","Ocean City Primary School",0,143776
"CAPE MAY","WILDWOOD CITY SCHOOL DISTRICT","Glenwood Avenue Elementary School",55,434059
"CAPE MAY","WILDWOOD CITY SCHOOL DISTRICT","Wildwood High School",0,434059
"CAPE MAY","WILDWOOD CITY SCHOOL DISTRICT","Wildwood Middle School",157,434059
"CAPE MAY","WILDWOOD CREST BOROUGH SCHOOL DISTRICT","Crest Memorial School",93,36824
ESSEX,"EAST ORANGE COMMUNITY CHARTER SCHOOL","East Orange Community Charter School",0,4190208
HUDSON,"JERSEY CITY COMMUNITY CHARTER SCHOOL","Jersey City Community Charter School",248,15218974
HUDSON,"JERSEY CITY GLOBAL CHARTER SCHOOL","Jersey City Global Charter School",127,15218974
HUDSON,"JERSEY CITY GOLDEN DOOR CHARTER SCHOOL","Jersey City Golden Door Charter School",254,15218974
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Bridgeton High School",0,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Broad Street School",415,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Buckshutem Road School",263,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Cherry Street School",224,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Geraldyn O Foster Early Childhood Center",0,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Indian Ave School",307,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","Quarter Mile Lane School",255,3390282
CUMBERLAND,"BRIDGETON CITY SCHOOL DISTRICT","West Avenue School",247,3390282
CUMBERLAND,"COMMERCIAL TOWNSHIP SCHOOL DISTRICT","Commercial Township School",151,351238
CUMBERLAND,"CUMBERLAND REGIONAL SCHOOL DISTRICT","Cumberland Regional High School",0,203907
CUMBERLAND,"DEERFIELD TOWNSHIP SCHOOL DISTRICT","Deerfield Township Elementary School",132,48797
CUMBERLAND,"DOWNE TOWNSHIP SCHOOL DISTRICT","Downe Township Elementary School",60,89027
CUMBERLAND,"FAIRFIELD TOWNSHIP SCHOOL DISTRICT","Fairfield Township School",211,134798
CUMBERLAND,"HOPEWELL TOWNSHIP SCHOOL DISTRICT","Hopewell Crest",219,56639
CUMBERLAND,"LAWRENCE TOWNSHIP SCHOOL DISTRICT","Myron L. Powell Elementary School",211,85753
CUMBERLAND,"MAURICE RIVER TOWNSHIP SCHOOL DISTRICT","Maurice River Township School",151,103977
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Charles F. Seabrook School",0,48797
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Charles F. Seabrook School",0,477698
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Elizabeth F. Moore School",91,48797
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Elizabeth F. Moore School",91,477698
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Woodruff Middle School",253,48797
CUMBERLAND,"UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT","Woodruff Middle School",253,477698
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Berkeley Elementary School",130,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Bloomfield High School",1,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Bloomfield Middle School",946,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Brookdale Elementary School",82,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Carteret Elementary School",98,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Demarest Elementary School",146,624335
ESSEX,"BLOOMFIELD TOWNSHIP SCHOOL DISTRICT","Fairview Elementary School",155,624335
