countyname,districtname,schoolname,total_5_8,title1allocation
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Oak Ridge Heights Elementary School",34,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Oak Tree Road Elementary School",70,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Pennsylvania Avenue Elementary School",45,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Port Reading Avenue Elementary School",54,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Robert Mascenik Elementary School",38,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Ross Street Elementary School",115,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbine Avenue Elementary School",63,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbridge High School",0,864072
MIDDLESEX,"WOODBRIDGE TOWNSHIP SCHOOL DISTRICT","Woodbridge Middle School",513,864072
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Freehold Intermediate School",498,165560
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Freehold Learning Center",0,165560
MONMOUTH,"FREEHOLD BOROUGH SCHOOL DISTRICT","Park Avenue Elementary School",148,165560
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Cambridge Park Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Cliffwood Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Lloyd Road Elementary School",261,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Matawan Regional High School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Matawan-Aberdeen Middle School",835,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Ravine Drive Elementary School",0,236141
MONMOUTH,"MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT","Strathmore Elementary School",0,236141
MONMOUTH,"MONMOUTH REGIONAL HIGH SCHOOL","Monmouth Regional High School",0,63610
MONMOUTH,"NEPTUNE CITY SCHOOL DISTRICT","Woodrow Wilson",98,85394
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Gables Elementary School",36,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Green Grove Elementary School",32,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Midtown Community Elementary School",61,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Neptune High School",0,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Neptune Middle School",595,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Shark River Hills Elementary School",17,538505
MONMOUTH,"NEPTUNE TOWNSHIP SCHOOL DISTRICT","Summerfield Elementary School",47,538505
MONMOUTH,"RED BANK BOROUGH PUBLIC SCHOOL DISTRICT","Red Bank Middle School",483,134191
MONMOUTH,"RED BANK BOROUGH PUBLIC SCHOOL DISTRICT","Red Bank Primary School",0,134191
MONMOUTH,"RED BANK REGIONAL SCHOOL DISTRICT","Red Bank Regional High School",0,52282
MONMOUTH,"SEA GIRT BOROUGH SCHOOL DISTRICT","Sea Girt Elementary School",70,18299
MONMOUTH,"UNION BEACH PUBLIC SCHOOL DISTRICT","Memorial School",241,98465
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","Boonton High School",0,87137
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","John Hill School",347,87137
MORRIS,"BOONTON TOWN PUBLIC SCHOOL DISTRICT","School Street School",0,87137
MORRIS,"BOONTON TOWNSHIP SCHOOL DISTRICT","Rockaway Valley School",149,87137
MORRIS,"MINE HILL TOWNSHIP SCHOOL DISTRICT","Canfield Avenue School",90,33983
MORRIS,"MORRIS SCHOOL DISTRICT","Alexander Hamilton",87,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Alfred Vail School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Frelinghuysen Middle School",1078,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Hillcrest School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Lafayette Learning Center",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Morristown High School",0,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Normandy Park School",56,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Sussex Avenue School",104,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Thomas Jefferson School",91,299751
MORRIS,"MORRIS SCHOOL DISTRICT","Woodland School",0,299751
MORRIS,"WHARTON BOROUGH SCHOOL DISTRICT","Alfred C. MacKinnon Middle School",265,81909
MORRIS,"WHARTON BOROUGH SCHOOL DISTRICT","Marie V. Duffy Elementary School",69,81909
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Barnegat High School",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Cecil S. Collins Elementary",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Joseph T. Donahue Elementary School",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Lillian M. Dunfee Elementary",0,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Robert L. Horbelt Elementary School",499,313692
OCEAN,"BARNEGAT TOWNSHIP SCHOOL DISTRICT","Russell O. Brackman Middle School",522,313692
OCEAN,"BAY HEAD BOROUGH SCHOOL DISTRICT","Bay Head Elementary",64,8714
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Bayville Elementary School",0,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Berkeley Township Elementary School",594,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","Clara B. Worth Elementary School",0,155975
OCEAN,"BERKELEY TOWNSHIP SCHOOL DISTRICT","H & M Potter School",0,155975
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Brick Township High School",0,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Brick Township Memorial High School",0,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Drum Point Road Elementary School",82,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Emma Havens Young Elementary School",127,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Herbertsville Early Childhood Development Center",0,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Lake Riviera Middle School",893,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Lanes Mill Elementary School",103,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Midstreams Elementary School",92,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Osbornville Elementary School",60,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Veterans Memorial Elementary School",110,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Veterans Memorial Middle School",865,820393
OCEAN,"BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT","Warren H. Wolf Early Childhood Development Center",0,820393
OCEAN,"CENTRAL REGIONAL SCHOOL DISTRICT","Central Regional High School",0,182116
OCEAN,"CENTRAL REGIONAL SCHOOL DISTRICT","Central Regional Middle School",680,182116
OCEAN,"EAGLESWOOD TOWNSHIP SCHOOL DISTRICT","Eagleswood Elementary School",30,14813
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Cedar Creek Elementary School",82,297136
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Forked River Elementary School",115,297136
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Lacey Township High School",0,297136
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Lacey Township Middle School",822,297136
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Lanoka Harbor Elementary School",109,297136
OCEAN,"LACEY TOWNSHIP SCHOOL DISTRICT","Mill Pond Elementary School",0,297136
OCEAN,"LAKEWOOD TOWNSHIP SCHOOL DISTRICT","Clifton Ave Grade School",174,6205811
OCEAN,"LAKEWOOD TOWNSHIP SCHOOL DISTRICT","Lakewood High School",0,6205811
OCEAN,"LAKEWOOD TOWNSHIP SCHOOL DISTRICT","Lakewood Middle School",574,6205811
OCEAN,"LAKEWOOD TOWNSHIP SCHOOL DISTRICT","Oak Street Elem School",234,6205811
OCEAN,"LAKEWOOD TOWNSHIP SCHOOL DISTRICT","Spruce Street Elementary School",0,6205811
OCEAN,"LAVALLETTE BOROUGH SCHOOL DISTRICT","Lavallette Elementary School",50,33983
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Frog Pond Elementary School",359,456597
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Frog Pond Elementary School",359,200415
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","George J. Mitchell Elementary School",0,456597
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","George J. Mitchell Elementary School",0,200415
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Robert C. Wood Sr Early Childhood Center",0,456597
OCEAN,"LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT","Robert C. Wood Sr Early Childhood Center",0,200415
OCEAN,"LONG BEACH ISLAND SCHOOL DISTRICT","Ethel A. Jacobsen Elementary School",0,63082
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Manchester Regional Day School",8,226556
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Manchester Township Elementary School",93,226556
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Manchester Township High School",0,226556
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Manchester Township Middle School",586,226556
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Ridgeway Elementary School",69,226556
OCEAN,"MANCHESTER TOWNSHIP SCHOOL DISTRICT","Whiting Elementary School",40,226556
OCEAN,"OCEAN TOWNSHIP SCHOOL DISTRICT","Frederic A. Priff Elementary School",122,324149
OCEAN,"OCEAN TOWNSHIP SCHOOL DISTRICT","Frederic A. Priff Elementary School",122,142904
OCEAN,"OCEAN TOWNSHIP SCHOOL DISTRICT","Waretown Elementary School",0,324149
OCEAN,"OCEAN TOWNSHIP SCHOOL DISTRICT","Waretown Elementary School",0,142904
OCEAN,"PINELANDS REGIONAL SCHOOL DISTRICT","Pinelands Regional High School",0,140290
OCEAN,"PINELANDS REGIONAL SCHOOL DISTRICT","Pinelands Regional Jr. High School",500,140290
OCEAN,"PLUMSTED TOWNSHIP SCHOOL DISTRICT","Dr. Gerald H. Woehr Elementary School",174,95850
OCEAN,"PLUMSTED TOWNSHIP SCHOOL DISTRICT","New Egypt High School",176,95850
OCEAN,"PLUMSTED TOWNSHIP SCHOOL DISTRICT","New Egypt Primary School",0,95850
OCEAN,"SOUTHERN REGIONAL SCHOOL DISTRICT","Southern Regional High School",0,127220
OCEAN,"SOUTHERN REGIONAL SCHOOL DISTRICT","Southern Regional Middle School",865,127220
OCEAN,"STAFFORD TOWNSHIP SCHOOL DISTRICT","McKinley Avenue Elementary School",3,144647
OCEAN,"STAFFORD TOWNSHIP SCHOOL DISTRICT","Ocean Acres Elementary School",0,144647
OCEAN,"STAFFORD TOWNSHIP SCHOOL DISTRICT","Oxycocus Elementary School",0,144647
OCEAN,"STAFFORD TOWNSHIP SCHOOL DISTRICT","Ronald L. Meinders Primary Learning Center",0,144647
OCEAN,"STAFFORD TOWNSHIP SCHOOL DISTRICT","Stafford Intermediate School",657,144647
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Beachwood Elementary School",69,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Cedar Grove Elementary School",151,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","East Dover Elementary School",102,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Hooper Avenue Elementary School",132,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Joseph A. Citta Elementary School",85,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","North Dover Elementary School",65,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Pine Beach Elementary School",55,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Silver Bay Elementary School",76,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","South Toms River Elementary School",69,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River High School East",0,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River High School North",0,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River High School South",0,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River Intermediate School East",1271,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River Intermediate School North",970,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Toms River Intermediate School South",1044,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Walnut Street Elementary School",129,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","Washington Street Elementary School",52,1834665
OCEAN,"TOMS RIVER REGIONAL SCHOOL DISTRICT","West Dover Elementary School",59,1834665
OCEAN,"TUCKERTON BOROUGH SCHOOL DISTRICT","Tuckerton Elementary School",78,53153
PASSAIC,"LITTLE FALLS TOWNSHIP PUBLIC SCHOOL DISTRICT","Little Falls Township Public School # 1",392,53153
PASSAIC,"LITTLE FALLS TOWNSHIP PUBLIC SCHOOL DISTRICT","Little Falls Township Public School # 2",0,53153
PASSAIC,"LITTLE FALLS TOWNSHIP PUBLIC SCHOOL DISTRICT","Little Falls Township Public School # 3",0,53153
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Abraham Lincoln School Number 24",0,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Daniel F. Ryan Elementary School No. 19",287,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Ellen Ochoa School Number 22",391,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Mahatma Gandhi School Number 25",0,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Mario Drago School No. 3",248,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Martin Luther King, Jr. School No. 6",263,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Muhammad Ali School Number 23",443,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Passaic Academy for Science and Engineering",178,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Passaic Gifted and Talented Academy School No. 20",426,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Passaic High School No. 12",0,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Passaic Preparatory Academy",191,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Sallie D. Gamble School No. 7",0,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Theodore Roosevelt School No. 10",125,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Thomas Jefferson School No. 1",159,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","Vincent Capuana School No. 15",0,5398981
PASSAIC,"PASSAIC CITY SCHOOL DISTRICT","William B. Cruise Memorial School No. 11",356,5398981
PASSAIC,"PASSAIC VALLEY REGIONAL HIGH SCHOOL DISTRICT","Passaic Valley Regional High School",0,77552
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Apshawa Elementary School",36,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Macopin Middle School",675,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Maple Road Elementary School",46,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Marshall Hill Elementary School",35,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Paradise Knoll Elementary School",20,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","Upper Greenwood Lake Elementary School",56,287551
PASSAIC,"WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT","West Milford High School",0,287551
SALEM,"MANNINGTON TOWNSHIP SCHOOL DISTRICT","Mannington Township Elementary School",57,30498
SALEM,"OLDMANS TOWNSHIP SCHOOL DISTRICT","Oldmans Township School",143,19505
SALEM,"PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT","Field Street School",0,422141
SALEM,"PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT","Lafayette - Pershing",0,422141
SALEM,"PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT","Paul W Carleton",146,422141
SALEM,"PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT","Penns Grove High School",0,422141
SALEM,"PENNS GROVE-CARNEYS POINT REGIONAL SCHOOL DISTRICT","Penns Grove Middle School",452,422141
SALEM,"PENNSVILLE SCHOOL DISTRICT","Central Park Elementary School",0,109792
SALEM,"PENNSVILLE SCHOOL DISTRICT","Penn Beach Elementary",113,109792
SALEM,"PENNSVILLE SCHOOL DISTRICT","Pennsville Memorial High School",0,109792
SALEM,"PENNSVILLE SCHOOL DISTRICT","Pennsville Middle School",460,109792
SALEM,"PENNSVILLE SCHOOL DISTRICT","Valley Park Elementary School",0,109792
SALEM,"PITTSGROVE TOWNSHIP SCHOOL DISTRICT","Arthur P. Schalick High School",0,113278
SALEM,"PITTSGROVE TOWNSHIP SCHOOL DISTRICT","Elmer Elementary School",0,113278
SALEM,"PITTSGROVE TOWNSHIP SCHOOL DISTRICT","Norma Elementary School",0,113278
SALEM,"PITTSGROVE TOWNSHIP SCHOOL DISTRICT","Olivet Elementary School",0,113278
SALEM,"PITTSGROVE TOWNSHIP SCHOOL DISTRICT","Pittsgrove Township Middle School",495,113278
SALEM,"QUINTON TOWNSHIP SCHOOL DISTRICT","Quinton Township School",101,35726
SALEM,"SALEM CITY SCHOOL DISTRICT","John Fenwick Academy",2,396328
SALEM,"SALEM CITY SCHOOL DISTRICT","Salem High School",0,396328
SALEM,"SALEM CITY SCHOOL DISTRICT","Salem Middle School",331,396328
SALEM,"THE LOWER ALLOWAYS CREEK SCHOOL DISTRICT","Lower Alloways Creek Elementary School",66,34855
SALEM,"WOODSTOWN-PILESGROVE REGIONAL SCHOOL DISTRICT","Mary S. Shoemaker School",95,98465
SALEM,"WOODSTOWN-PILESGROVE REGIONAL SCHOOL DISTRICT","William Roper Early Childhood Learning Center",0,98465
SALEM,"WOODSTOWN-PILESGROVE REGIONAL SCHOOL DISTRICT","Woodstown High School",0,98465
SALEM,"WOODSTOWN-PILESGROVE REGIONAL SCHOOL DISTRICT","Woodstown Middle School",303,98465
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Claremont Elementary School",96,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Claremont Elementary School",96,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Conerly Road School",65,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Conerly Road School",65,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Elizabeth Avenue School",87,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Elizabeth Avenue School",87,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin High School",0,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin High School",0,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Middle School at Hamilton Street Campus",593,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Middle School at Hamilton Street Campus",593,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Middle School at Sampson G. Smith Campus",787,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Middle School at Sampson G. Smith Campus",787,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Park School",77,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Franklin Park School",77,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Hillcrest School",66,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Hillcrest School",66,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","MacAfee Road School",54,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","MacAfee Road School",54,420871
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Pine Grove Manor School",61,112406
SOMERSET,"FRANKLIN TOWNSHIP PUBLIC SCHOOL DISTRICT","Pine Grove Manor School",61,420871
SOMERSET,"SOUTH BOUND BROOK PUBLIC SCHOOL DISTRICT","Robert Morris School",194,44440
SUSSEX,"FRANKFORD TOWNSHIP CONSOLIDATED SCHOOL DISTRICT","Frankford Township School",215,31369
SUSSEX,"FRANKLIN BOROUGH SCHOOL DISTRICT","Franklin Borough School",213,56639
SUSSEX,"HARDYSTON TOWNSHIP SCHOOL DISTRICT","Hardyston Township Elementary School",0,39212
SUSSEX,"HARDYSTON TOWNSHIP SCHOOL DISTRICT","Hardyston Township Middle School",261,39212
SUSSEX,"HIGH POINT REGIONAL HIGH SCHOOL DISTRICT","High Point Regional High School District",0,49668
SUSSEX,"MONTAGUE TOWNSHIP SCHOOL DISTRICT","Montague Township School",115,77552
SUSSEX,"OGDENSBURG BOROUGH SCHOOL DISTRICT","Ogdensburg Borough School",105,22656
SUSSEX,"SUSSEX-WANTAGE REGIONAL SCHOOL DISTRICT","Clifton E. Lawrence",0,121992
SUSSEX,"SUSSEX-WANTAGE REGIONAL SCHOOL DISTRICT","Sussex Middle School",291,121992
SUSSEX,"SUSSEX-WANTAGE REGIONAL SCHOOL DISTRICT","Wantage Elementary School",123,121992
SUSSEX,"WALLKILL VALLEY REGIONAL HIGH SCHOOL","Wallkill Valley Regional High School",0,35726
UNION,"WINFIELD TOWNSHIP","Winfield Township",53,13071
WARREN,"ALPHA BOROUGH SCHOOL DISTRICT","Alpha Borough School",89,44440
WARREN,"FRANKLIN TOWNSHIP SCHOOL DISTRICT","Franklin Township School",54,112406
WARREN,"FRANKLIN TOWNSHIP SCHOOL DISTRICT","Franklin Township School",54,420871
WARREN,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Greenwich School",71,10456
WARREN,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Greenwich School",71,44440
WARREN,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Stewartsville Middle School",210,10456
WARREN,"GREENWICH TOWNSHIP SCHOOL DISTRICT","Stewartsville Middle School",210,44440
WARREN,"LOPATCONG TOWNSHIP SCHOOL DISTRICT","Lopatcong Elementary School",0,62738
WARREN,"LOPATCONG TOWNSHIP SCHOOL DISTRICT","Lopatcong Township Middle School",335,62738
WARREN,"MANSFIELD TOWNSHIP ELEMENTARY SCHOOL DISTRICT","Mansfield Township Elementary",180,46183
WARREN,"WARREN HILLS REGIONAL SCHOOL DISTRICT","Warren Hills Regional High School",0,98465
WARREN,"WARREN HILLS REGIONAL SCHOOL DISTRICT","Warren Hills Regional Middle School",477,98465
